Symbol,BTC,ETH,USDT,BNB
ETHBTC,ETHBTC,,,
LTCBTC,LTCBTC,,,
BNBBTC,BNBBTC,,,
NEOBTC,NEOBTC,,,
QTUMETH,,QTUMETH,,
EOSETH,,EOSETH,,
SNTETH,,SNTETH,,
BNTETH,,BNTETH,,
BCCBTC,BCCBTC,,,
GASBTC,GASBTC,,,
BNBETH,,BNBETH,,
BTCUSDT,,,BTCUSDT,
ETHUSDT,,,ETHUSDT,
HSRBTC,HSRBTC,,,
OAXETH,,OAXETH,,
DNTETH,,DNTETH,,
MCOETH,,MCOETH,,
ICNETH,,ICNETH,,
MCOBTC,MCOBTC,,,
WTCBTC,WTCBTC,,,
WTCETH,,WTCETH,,
LRCBTC,LRCBTC,,,
LRCETH,,LRCETH,,
QTUMBTC,QTUMBTC,,,
YOYOBTC,YOYOBTC,,,
OMGBTC,OMGBTC,,,
OMGETH,,OMGETH,,
ZRXBTC,ZRXBTC,,,
ZRXETH,,ZRXETH,,
STRATBTC,STRATBTC,,,
STRATETH,,STRATETH,,
SNGLSBTC,SNGLSBTC,,,
SNGLSETH,,SNGLSETH,,
BQXBTC,BQXBTC,,,
BQXETH,,BQXETH,,
KNCBTC,KNCBTC,,,
KNCETH,,KNCETH,,
FUNBTC,FUNBTC,,,
FUNETH,,FUNETH,,
SNMBTC,SNMBTC,,,
SNMETH,,SNMETH,,
NEOETH,,NEOETH,,
IOTABTC,IOTABTC,,,
IOTAETH,,IOTAETH,,
LINKBTC,LINKBTC,,,
LINKETH,,LINKETH,,
XVGBTC,XVGBTC,,,
XVGETH,,XVGETH,,
SALTBTC,SALTBTC,,,
SALTETH,,SALTETH,,
MDABTC,MDABTC,,,
MDAETH,,MDAETH,,
MTLBTC,MTLBTC,,,
MTLETH,,MTLETH,,
SUBBTC,SUBBTC,,,
SUBETH,,SUBETH,,
EOSBTC,EOSBTC,,,
SNTBTC,SNTBTC,,,
ETCETH,,ETCETH,,
ETCBTC,ETCBTC,,,
MTHBTC,MTHBTC,,,
MTHETH,,MTHETH,,
ENGBTC,ENGBTC,,,
ENGETH,,ENGETH,,
DNTBTC,DNTBTC,,,
