git id,name,symbol
1,Bitcoin,BTC
2,Litecoin,LTC
3,Namecoin,NMC
4,Terracoin,TRC
5,Peercoin,PPC
6,Novacoin,NVC
8,Feathercoin,FTC
9,Mincoin,MNC
10,Freicoin,FRC
13,Ixcoin,IXC
14,BitBar,BTB
16,WorldCoin,WDC
18,Digitalcoin,DGC
25,GoldCoin,GLD
31,Argentum,ARG
32,Fastcoin,FST
34,Bitgem,BTG
35,Phoenixcoin,PXC
37,Megacoin,MEC
41,Infinitecoin,IFC
42,Primecoin,XPM
43,Anoncoin,ANC
45,CasinoCoin,CSC
49,Bullion,CBX
50,Emerald Crypto,EMD
51,GlobalCoin,GLC
52,XRP,XRP
53,Quark,QRK
56,Zetacoin,ZET
57,SecureCoin,SRC
58,Sexcoin,SXC
61,TagCoin,TAG
63,I0Coin,I0C
64,FlorinCoin,FLO
66,Nxt,NXT
67,Unobtanium,UNO
68,Joulecoin,XJO
69,Datacoin,DTC
70,BetaCoin,BET
71,GrandCoin,GDC
72,Deutsche eMark,DEM
74,Dogecoin,DOGE
75,NetCoin,NET
76,Philosopher Stones,PHS
77,Diamond,DMD
78,HoboNickels,HBN
79,Tigercoin,TGC
80,Orbitcoin,ORB
83,Omni,OMNI
84,Catcoin,CAT
87,FedoraCoin,TIPS
88,RonPaulCoin,RPC
89,Mooncoin,MOON
90,Dimecoin,DIME
93,42-coin,42
99,Vertcoin,VTC
101,KlondikeCoin,KDC
103,RedCoin,RED
109,DigiByte,DGB
113,SmartCoin,SMC
114,TeslaCoin,TES
117,NobleCoin,NOBL
118,ReddCoin,RDD
120,Nyancoin,NYAN
121,UltraCoin,UTC
122,PotCoin,POT
125,Blakecoin,BLC
128,MaxCoin,MAX
129,QubitCoin,Q2C
130,HunterCoin,HUC
131,Dash,DASH
132,Counterparty,XCP
134,CacheCoin,CACH
135,TopCoin,TOP
138,iCoin,ICN
141,Mintcoin,MINT
142,Aricoin,ARI
145,DopeCoin,DOPE
148,Auroracoin,AUR
150,Animecoin,ANI
151,Pesetacoin,PTC
154,Marscoin,MARS
159,Cashcoin,CASH
160,Riecoin,RIC
161,Pandacoin,PND
164,MAZA,MAZA
168,Uniform Fiscal Object,UFO
170,BlackCoin,BLK
174,LiteBar,LTB
175,Photon,PHO
181,Zeitcoin,ZEIT
182,Myriad,XMY
184,DNotes,NOTE
199,Skeincoin,SKC
201,Einsteinium,EMC2
205,Bitcoin Scrypt,BTCS
206,Coin(O),CNO
212,ECC,ECC
213,MonaCoin,MONA
215,Rubycoin,RBY
217,Bela,BELA
218,FlutterCoin,FLT
221,OctoCoin,888
224,FairCoin,FAIR
233,SolarCoin,SLR
234,e-Gulden,EFL
254,Gulden,NLG
257,Polcoin,PLC
258,Groestlcoin,GRS
260,PetroDollar,XPD
263,PLNcoin,PLNC
268,WhiteCoin,XWC
269,AsiaCoin,AC
275,PopularCoin,POP
276,Bitstar,BITS
278,Quebecoin,QBC
279,CannaCoin,CCN
287,Slothcoin,SLOTH
290,BlueCoin,BLU
291,MaidSafeCoin,MAID
293,Bitcoin Plus,XBC
295,BTCtalkcoin,TALK
298,NewYorkCoin,NYC
304,Canada eCoin,CDN
312,Guncoin,GUN
313,PinkCoin,PINK
316,Dreamcoin,DRM
317,CoffeeCoin,CFC
322,Energycoin,ENRG
323,VeriCoin,VRC
325,TEKcoin,TEK
328,Monero,XMR
331,Litecoin Plus,LCP
333,Curecoin,CURE
334,UnbreakableCoin,UNB
337,CryptCoin,CRYPT
341,SuperCoin,SUPER
350,BoostCoin,BOST
353,Hyper,HYPER
356,BitQuark,BTQ
360,Motocoin,MOTO
362,CloakCoin,CLOAK
366,BitSend,BSD
367,Coin2.1,C2
370,Fantomcoin,FCN
372,Bytecoin,BCN
374,ArtByte,ABY
377,NavCoin,NAV
382,Granite,GRN
385,Donationcoin,DON
386,Piggycoin,PIGGY
389,Startcoin,START
400,Kore,KORE
405,DigitalNote,XDN
406,Boolberry,BBR
411,SHACoin,SHA
415,BlazeCoin,BLZ
416,HempCoin,THC
426,BritCoin,BRIT
448,Stealth,XST
450,TrustPlus,TRUST
460,Clams,CLAM
461,Quatloo,QTL
463,BitShares,BTS
467,BitcoinDark,BTCD
468,Truckcoin,TRK
470,Viacoin,VIA
477,Triangles,TRI
495,I/O Coin,IOC
501,Cryptonite,XCN
502,Carboncoin,CARBON
506,CannabisCoin,CANN
512,Stellar,XLM
513,Titcoin,TIT
520,Virtacoin,VTA
525,HyperStake,HYP
536,Joincoin,J
541,Syscoin,SYS
543,Bitmark,BTM
545,Halcyon,HAL
549,Storjcoin X,SJCX
551,NeosCoin,NEOS
558,Emercoin,EMC
572,RabbitCoin,RBBT
573,Burst,BURST
576,GameCredits,GAME
584,WeAreSatoshi,WSX
588,Ubiq,UBQ
594,BunnyCoin,BUN
597,Opal,OPAL
